,Crude birth rate (per 1000 population),Crude death rate (per 1000 population)
Country,2013,2013
Afghanistan,34.1,7.7
Albania,12.9,9.4
Algeria,24.3,5.7
Andorra,8.9,8.4
Angola,44.1,13.9
Antigua and Barbuda,16.5,6.8
Argentina,16.8,7.6
Armenia,13.7,12.6
Australia,13.2,6.4
Austria,9.5,9
Azerbaijan,17.8,6.3
Bahamas,15.3,6.1
Bahrain,15.2,2.2
Bangladesh,20,5.7
Barbados,12.7,6.4
Belarus,11,13.5
Belgium,11.7,9.9
Belize,23.4,4
Benin,36.4,9.6
Bhutan,19.6,6.5
Bolivia (Plurinational State of),25.7,7
Bosnia and Herzegovina,9,9.4
Botswana,23.6,7.2
Brazil,14.9,6.1
Brunei Darussalam,15.5,3.6
Bulgaria,9.6,14.2
Burkina Faso,40.9,9.5
Burundi,44.7,11.1
C̫te d'Ivoire,36.6,12.6
Cabo Verde,20.1,5.2
Cambodia,25.7,5.7
Cameroon,37.3,10.8
Canada,11.3,7.2
Central African Republic,34.2,14
Chad,45.9,13.6
Chile,13.9,5.4
China,13.3,7.2
Colombia,18.8,4.2
Comoros,35.2,8.2
Congo,37.6,10.1
Cook Islands,14.9,5
Costa Rica,15.1,4.4
Croatia,9.5,11.1
Cuba,9.5,8.5
Cyprus,11.5,5.5
Czechia,11.1,10
Democratic People's Republic of Korea,14.4,9.2
Democratic Republic of the Congo,42.7,13.7
Denmark,11.3,9.6
Djibouti,27.5,8.8
Dominica,15.6,7.2
Dominican Republic,20.8,5.9
Ecuador,20.8,5.3
Egypt,23.2,6.4
El Salvador,20.1,6.6
Equatorial Guinea,35.4,11.5
Eritrea,36.7,6.3
Estonia,10.9,11.3
Ethiopia,33,7.2
Fiji,20.4,6.9
Finland,11.2,9.4
France,12.3,8.7
Gabon,31.9,9
Gambia,42.7,8.2
Georgia,13.3,11.5
Germany,8.5,10.6
Ghana,30.9,8.1
Greece,9.7,9.7
Grenada,19.3,6.9
Guatemala,31,5.2
Guinea,36.9,10.1
Guinea-Bissau,37.5,12.3
Guyana,20.3,7.9
Haiti,25.6,8.6
Honduras,25.8,4.5
Hungary,9.9,13
Iceland,14.5,6.2
India,20.4,7.9
Indonesia,18.8,6.2
Iran (Islamic Republic of),18.8,5.1
Iraq,31.1,4.8
Ireland,15.4,5.9
Israel,20.3,5.1
Italy,9.2,9.5
Jamaica,18,7.1
Japan,8.4,9.5
Jordan,27,3.7
Kazakhstan,20.5,9.7
Kenya,34.9,8.3
Kiribati,23.3,8.2
Kuwait,20.6,1.9
Kyrgyzstan,27.1,6.6
Lao People's Democratic Republic,26.8,6.7
Latvia,11,14.2
Lebanon,13.4,4.4
Lesotho,27.5,14.1
Liberia,35.5,8
Libya,20.7,4.2
Lithuania,11.3,12
Luxembourg,11.6,6.8
Madagascar,34.7,7
Malawi,39.8,9
Malaysia,17.7,5
Maldives,22,3.5
Mali,47.1,11.2
Malta,9.2,7.5
Marshall Islands,27.2,6.6
Mauritania,34.1,7.8
Mauritius,11.5,7.4
Mexico,18.4,5.3
Micronesia (Federated States of),23.5,6.1
Monaco,6.8,8.7
Mongolia,22.7,6.7
Montenegro,11.6,9.5
Morocco,22.7,6.4
Mozambique,38.9,11.8
Myanmar,17.2,8.4
Namibia,26,5.7
Nauru,26.4,3.5
Nepal,21,6.6
Netherlands,10.7,8.3
New Zealand,13.8,6.3
Nicaragua,22.7,4.8
Niger,49.7,10.2
Nigeria,41.2,11.9
Niue,,5.9
Norway,12.4,8.1
Oman,20.9,2.8
Pakistan,25.2,7.3
Palau,10.9,5.9
Panama,19.4,5
Papua New Guinea,28.9,7.7
Paraguay,23.7,4.8
Peru,19.7,4.4
Philippines,24.4,5.9
Poland,10.8,10
Portugal,8.7,9.1
Qatar,11,1.3
Republic of Korea,9.6,5.5
Republic of Moldova,12.1,12.4
Romania,10.3,11.8
Russian Federation,11.8,14.8
Rwanda,35.2,6.4
Saint Kitts and Nevis,13.8,8.5
Saint Lucia,15.4,7
Saint Vincent and the Grenadines,16.3,6.5
Samoa,26.2,5.2
San Marino,8.8,10.2
Sao Tome and Principe,33.9,6.5
Saudi Arabia,19.4,3.2
Senegal,37.7,7
Serbia,9.7,11.9
Seychelles,16.6,6.7
Sierra Leone,36.6,16.8
Singapore,9.9,4.5
Slovakia,10.7,9.4
Slovenia,10,9.1
Solomon Islands,30.8,5.4
Somalia,43.8,12.7
South Africa,20.9,11.1
South Sudan,36.1,11.1
Spain,10.4,8.2
Sri Lanka,17.9,6.6
Sudan,33.5,7.8
Suriname,17.7,4.6
Swaziland,29.9,11.8
Sweden,12,9.6
Switzerland,10.4,7.7
Syrian Arab Republic,24,3.5
Tajikistan,33,6
Thailand,10.2,7.6
The former Yugoslav republic of Macedonia,10.7,9.4
Timor-Leste,35.8,6
Togo,36.4,9.6
Tonga,25.5,6.7
Trinidad and Tobago,14.5,9.6
Tunisia,17.2,5.5
Turkey,16.8,5.7
Turkmenistan,21.3,8.8
Tuvalu,23.6,8.7
Uganda,43.2,9.2
Ukraine,10.8,15.1
United Arab Emirates,14.5,1.1
United Kingdom of Great Britain and Northern Ireland,12.2,8.9
United Republic of Tanzania,39.2,7.8
United States of America,13.2,8.4
Uruguay,14.5,9.1
Uzbekistan,21.5,6.4
Vanuatu,26.6,4.5
Venezuela (Bolivarian Republic of),19.8,4.8
Viet Nam,15.5,5.8
Yemen,31.1,6.7
Zambia,42.8,9.7
Zimbabwe,31.3,9.8
