incidence_tb,incidence_tb_HIV,incidence_tb_100000,incidence_tb_HIV_100000
15 000 ,2 200 ,31 ,4.6 
15 000 ,2 500 ,32 ,5.3 
15 000 ,2 600 ,32 ,5.5 
14 000 ,2 200 ,31 ,4.9 
14 000 ,1 800 ,31 ,3.9 
14 000 ,1 200 ,32 ,2.8 
14 000 ,780 ,31 ,1.8 
14 000 ,630 ,32 ,1.4 
13 000 ,700 ,30 ,1.6 
14 000 ,730 ,33 ,1.7 
15 000 ,720 ,35 ,1.7 
14 000 ,670 ,34 ,1.6 
14 000 ,640 ,35 ,1.6 
15 000 ,620 ,36 ,1.5 
270 ,9 ,35 ,1.1 
270 ,9 ,35 ,1.1 
260 ,8 ,34 ,1.1 
250 ,8 ,34 ,1.1 
250 ,3 ,34 ,0.46 
230 ,1 ,33 ,0.12 
230 ,0 ,33 ,0.04 
230 ,0 ,34 ,0.03 
230 ,1 ,35 ,0.13 
230 ,4 ,36 ,0.63 
220 ,4 ,36 ,0.65 
220 ,0 ,36 ,0.04 
220 ,,37 ,
220 ,,37 ,
210 ,,38 ,
210 ,,39 ,
18 000 ,6 400 ,379 ,138 
17 000 ,6 300 ,381 ,140 
17 000 ,6 200 ,382 ,142 
16 000 ,6 100 ,382 ,143 
16 000 ,6 000 ,383 ,144 
16 000 ,6 000 ,386 ,147 
16 000 ,6 000 ,393 ,152 
15 000 ,6 100 ,403 ,159 
15 000 ,6 200 ,413 ,167 
15 000 ,6 300 ,422 ,175 
15 000 ,6 400 ,426 ,182 
14 000 ,6 400 ,423 ,186 
14 000 ,6 300 ,413 ,188 
13 000 ,6 100 ,398 ,187 
12 000 ,5 800 ,379 ,183 
11 000 ,5 500 ,356 ,177 
2 ,0 ,7.8 ,0.01 
3 ,0 ,12 ,0.01 
2 ,0 ,11 ,0.01 
1 ,0 ,5.6 ,0.01 
1 ,0 ,5.6 ,0.01 
0 ,,0,
2 ,,11 ,
2 ,,11 ,
2 ,,8.7 ,
1 ,,5.9 ,
1 ,,5.9 ,
1 ,,6.0 ,
0 ,,0,
1 ,,6.3 ,
2 ,,13 ,
1 ,,6.5 ,
530 ,41 ,11 ,0.86 
580 ,50 ,12 ,1.1 
510 ,48 ,11 ,1 
590 ,57 ,13 ,1.2 
640 ,61 ,14 ,1.3 
620 ,57 ,14 ,1.3 
550 ,50 ,12 ,1.1 
630 ,56 ,14 ,1.3 
690 ,69 ,16 ,1.6 
610 ,61 ,14 ,1.4 
670 ,59 ,16 ,1.4 
890 ,64 ,21 ,1.5 
680 ,35 ,17 ,0.86 
680 ,33 ,17 ,0.81 
790 ,35 ,20 ,0.88 
730 ,30 ,19 ,0.77 
560 ,6 ,13 ,0.15 
570 ,6 ,13 ,0.15 
590 ,6 ,14 ,0.15 
620 ,6 ,14 ,0.15 
710 ,7 ,17 ,0.16 
790 ,7 ,18 ,0.17 
960 ,8 ,22 ,0.19 
1 100 ,9 ,26 ,0.21 
1 100 ,9 ,25 ,0.2 
1 200 ,9 ,27 ,0.2 
1 200 ,9 ,28 ,0.2 
1 300 ,9 ,31 ,0.21 
1 600 ,10 ,36 ,0.23 
1 700 ,10 ,38 ,0.22 
1 600 ,9 ,36 ,0.2 
1 900 ,10 ,42 ,0.22 
800 ,74 ,7.0 ,0.65 
840 ,98 ,7.4 ,0.86 
870 ,100 ,7.7 ,0.91 
840 ,87 ,7.4 ,0.76 
930 ,48 ,8.2 ,0.42 
950 ,10 ,8.4 ,0.09 
820 ,4 ,7.2 ,0.04 
940 ,4 ,8.3 ,0.03 
880 ,3 ,7.8 ,0.03 
880 ,3 ,7.8 ,0.02 
890 ,2 ,7.9 ,0.02 
900 ,1 ,8.0 ,0.01 
970 ,1 ,8.6 ,0.01 
1 000 ,1 ,9.2 ,0.01 
1 100 ,1 ,9.5 ,0.01 
1 400 ,1 ,12 ,0.01 
72 ,1 ,6.2 ,0.12 
45 ,1 ,3.9 ,0.07 
47 ,1 ,4.1 ,0.07 
72 ,1 ,6.4 ,0.11 
59 ,1 ,5.3 ,0.09 
70 ,1 ,6.4 ,0.1 
59 ,1 ,5.4 ,0.08 
55 ,1 ,5.1 ,0.08 
47 ,1 ,4.4 ,0.06 
41 ,1 ,3.9 ,0.05 
39 ,0 ,3.8 ,0.05 
34 ,0 ,3.4 ,0.04 
40 ,0 ,4.0 ,0.05 
23 ,0 ,2.3 ,0.03 
46 ,0 ,4.8 ,0.05 
38 ,0 ,4.0 ,0.04 
550 ,6 ,5.2 ,0.06 
550 ,5 ,5.2 ,0.05 
540 ,5 ,5.1 ,0.05 
650 ,5 ,6.2 ,0.05 
650 ,5 ,6.2 ,0.05 
710 ,5 ,6.8 ,0.05 
730 ,4 ,6.9 ,0.04 
930 ,5 ,8.9 ,0.05 
910 ,5 ,8.8 ,0.04 
1 100 ,5 ,11 ,0.05 
1 100 ,5 ,11 ,0.05 
1 200 ,4 ,12 ,0.04 
1 300 ,4 ,13 ,0.04 
1 300 ,4 ,13 ,0.04 
1 500 ,4 ,14 ,0.04 
1 600 ,4 ,16 ,0.04 
141 000 ,450 ,561 ,1.8 
129 000 ,400 ,515 ,1.6 
122 000 ,370 ,490 ,1.5 
115 000 ,340 ,464 ,1.4 
114 000 ,330 ,464 ,1.3 
106 000 ,290 ,432 ,1.2 
95 000 ,260 ,392 ,1.1 
91 000 ,230 ,374 ,0.96 
74 000 ,180 ,305 ,0.75 
56 000 ,130 ,232 ,0.55 
53 000 ,120 ,224 ,0.5 
56 000 ,120 ,236 ,0.5 
62 000 ,120 ,263 ,0.52 
50 000 ,93 ,216 ,0.4 
37 000 ,63 ,159 ,0.27 
43 000 ,68 ,187 ,0.3 
250 000 ,39 000 ,324 ,50 
243 000 ,39 000 ,325 ,53 
236 000 ,40 000 ,326 ,56 
230 000 ,41 000 ,327 ,59 
223 000 ,42 000 ,327 ,62 
216 000 ,43 000 ,327 ,65 
209 000 ,44 000 ,327 ,69 
202 000 ,45 000 ,327 ,72 
196 000 ,45 000 ,327 ,76 
189 000 ,45 000 ,327 ,78 
183 000 ,45 000 ,327 ,81 
177 000 ,45 000 ,327 ,83 
172 000 ,45 000 ,327 ,85 
167 000 ,44 000 ,327 ,86 
162 000 ,43 000 ,327 ,87 
157 000 ,42 000 ,327 ,87 
340 ,11 ,6.0 ,0.19 
340 ,10 ,6.0 ,0.19 
380 ,12 ,6.7 ,0.21 
390 ,12 ,7.0 ,0.21 
410 ,15 ,7.4 ,0.27 
380 ,11 ,6.9 ,0.21 
340 ,14 ,6.1 ,0.25 
380 ,0 ,6.9 ,0.01 
410 ,0 ,7.5 ,0 
390 ,0 ,7.2 ,0 
450 ,0 ,8.4 ,0 
410 ,7 ,7.6 ,0.14 
450 ,8 ,8.4 ,0.15 
460 ,8 ,8.6 ,0.15 
570 ,9 ,11 ,0.17 
680 ,10 ,13 ,0.2 
3 400 ,200 ,378 ,22 
2 800 ,240 ,317 ,27 
4 000 ,400 ,457 ,46 
4 300 ,490 ,509 ,57 
4 600 ,540 ,547 ,65 
5 200 ,600 ,628 ,72 
4 700 ,470 ,577 ,57 
4 600 ,510 ,568 ,64 
4 000 ,540 ,500 ,68 
3 800 ,530 ,477 ,67 
3 900 ,560 ,499 ,72 
3 700 ,550 ,479 ,71 
4 000 ,610 ,534 ,81 
4 000 ,610 ,535 ,82 
5 200 ,810 ,715 ,110 
5 000 ,750 ,687 ,104 
8 ,0 ,11 ,0.01 
1 ,1 ,1.6 ,1.1 
3 ,3 ,4.8 ,4.8 
8 ,4 ,11 ,5.6 
2 ,0 ,3.2 ,0 
9 ,0 ,13 ,0.16 
5 ,1 ,6.5 ,1.6 
15 ,,21 ,
3 ,,4.9 ,
22 ,,31 ,
12 ,,18 ,
7 ,,10 ,
4 ,,5.8 ,
2 ,,3.3 ,
7 ,,10 ,
7 ,,10 ,
6 300 ,1 600 ,60 ,15 
6 200 ,1 500 ,60 ,14 
6 100 ,1 200 ,60 ,12 
6 300 ,870 ,62 ,8.6 
6 500 ,660 ,65 ,6.5 
6 700 ,620 ,67 ,6.2 
6 800 ,630 ,70 ,6.4 
7 000 ,610 ,73 ,6.3 
7 200 ,610 ,76 ,6.5 
7 400 ,630 ,79 ,6.7 
7 600 ,660 ,82 ,7.1 
7 800 ,700 ,85 ,7.7 
8 000 ,750 ,89 ,8.3 
8 200 ,780 ,92 ,8.9 
8 300 ,810 ,96 ,9.4 
8 500 ,830 ,100 ,9.7 
8 400 ,1 000 ,52 ,6.2 
8 600 ,1 100 ,54 ,6.8 
8 800 ,1 100 ,56 ,6.9 
9 100 ,1 000 ,59 ,6.6 
8 900 ,1 000 ,59 ,6.6 
8 800 ,720 ,59 ,4.8 
8 800 ,710 ,60 ,4.8 
8 800 ,690 ,61 ,4.8 
9 000 ,720 ,63 ,5 
9 300 ,750 ,67 ,5.3 
9 600 ,780 ,70 ,5.7 
10 000 ,820 ,74 ,6.1 
10 000 ,860 ,78 ,6.5 
11 000 ,910 ,84 ,7 
12 000 ,970 ,91 ,7.6 
12 000 ,1 000 ,99 ,8.2 
13 000 ,53 ,15 ,0.06 
13 000 ,49 ,15 ,0.05 
14 000 ,48 ,16 ,0.05 
14 000 ,44 ,17 ,0.05 
15 000 ,41 ,17 ,0.05 
15 000 ,38 ,18 ,0.05 
15 000 ,35 ,19 ,0.04 
15 000 ,32 ,19 ,0.04 
15 000 ,29 ,20 ,0.04 
16 000 ,26 ,21 ,0.03 
16 000 ,24 ,21 ,0.03 
16 000 ,22 ,22 ,0.03 
17 000 ,20 ,23 ,0.03 
17 000 ,18 ,24 ,0.02 
17 000 ,16 ,25 ,0.02 
18 000 ,14 ,26 ,0.02 
2 700 ,210 ,43 ,3.5 
2 500 ,220 ,41 ,3.7 
2 400 ,230 ,39 ,3.8 
2 200 ,230 ,37 ,3.7 
2 100 ,220 ,34 ,3.6 
2 000 ,220 ,33 ,3.6 
1 900 ,230 ,32 ,3.8 
1 900 ,230 ,32 ,3.9 
1 900 ,240 ,32 ,3.9 
1 900 ,220 ,32 ,3.7 
1 800 ,200 ,31 ,3.3 
1 800 ,170 ,30 ,2.8 
1 700 ,140 ,28 ,2.4 
1 600 ,130 ,27 ,2.1 
1 500 ,120 ,27 ,2 
1 600 ,110 ,28 ,2 
1 500 ,730 ,172 ,86 
1 300 ,530 ,162 ,65 
1 200 ,460 ,153 ,57 
1 100 ,420 ,144 ,54 
1 000 ,360 ,136 ,48 
940 ,270 ,129 ,37 
870 ,120 ,123 ,16 
810 ,45 ,117 ,6.5 
750 ,41 ,113 ,6.1 
710 ,37 ,109 ,5.7 
660 ,33 ,106 ,5.3 
630 ,30 ,104 ,4.9 
600 ,26 ,102 ,4.4 
570 ,23 ,101 ,4 
540 ,19 ,98 ,3.5 
510 ,16 ,96 ,3 
3 400 ,180 ,65 ,3.5 
3 900 ,240 ,77 ,4.7 
4 700 ,310 ,94 ,6.2 
5 200 ,440 ,106 ,9.1 
5 000 ,900 ,105 ,19 
4 700 ,890 ,101 ,19 
4 800 ,940 ,104 ,20 
4 900 ,1 000 ,109 ,22 
6 000 ,1 300 ,136 ,30 
5 000 ,1 200 ,116 ,27 
5 900 ,1 500 ,141 ,35 
7 000 ,1 900 ,172 ,46 
7 800 ,2 200 ,198 ,57 
6 500 ,2 000 ,173 ,52 
6 400 ,2 000 ,175 ,54 
6 300 ,2 000 ,177 ,56 
240 ,24 ,18 ,1.8 
270 ,34 ,20 ,2.5 
290 ,41 ,22 ,3.1 
310 ,46 ,24 ,3.5 
340 ,44 ,25 ,3.3 
370 ,40 ,28 ,3 
400 ,40 ,30 ,3 
440 ,44 ,33 ,3.3 
480 ,47 ,36 ,3.5 
520 ,46 ,39 ,3.4 
570 ,41 ,42 ,3.1 
630 ,34 ,46 ,2.5 
700 ,38 ,51 ,2.8 
750 ,41 ,54 ,3 
800 ,44 ,58 ,3.2 
850 ,46 ,61 ,3.3 
191 000 ,16 000 ,192 ,16 
201 000 ,19 000 ,207 ,20 
212 000 ,24 000 ,224 ,25 
220 000 ,31 000 ,239 ,33 
228 000 ,33 000 ,253 ,36 
235 000 ,35 000 ,268 ,40 
241 000 ,37 000 ,282 ,43 
246 000 ,40 000 ,296 ,48 
251 000 ,43 000 ,310 ,53 
256 000 ,46 000 ,325 ,59 
261 000 ,50 000 ,341 ,66 
267 000 ,55 000 ,358 ,74 
272 000 ,59 000 ,376 ,82 
277 000 ,63 000 ,393 ,90 
280 000 ,67 000 ,409 ,97 
280 000 ,69 000 ,421 ,103 
450 ,8 ,51 ,0.93 
470 ,14 ,53 ,1.6 
320 ,12 ,36 ,1.3 
260 ,9 ,30 ,0.98 
270 ,6 ,31 ,0.64 
240 ,1 ,27 ,0.17 
180 ,1 ,21 ,0.06 
130 ,0 ,16 ,0.03 
120 ,0 ,14 ,0.04 
140 ,1 ,17 ,0.06 
170 ,1 ,20 ,0.1 
170 ,1 ,20 ,0.14 
230 ,2 ,28 ,0.27 
190 ,2 ,23 ,0.21 
230 ,2 ,28 ,0.25 
180 ,1 ,22 ,0.18 
310 ,6 ,5.6 ,0.1 
290 ,5 ,5.3 ,0.1 
310 ,5 ,5.6 ,0.1 
300 ,5 ,5.5 ,0.09 
360 ,6 ,6.7 ,0.11 
350 ,5 ,6.6 ,0.1 
460 ,7 ,8.7 ,0.13 
380 ,5 ,7.2 ,0.1 
340 ,5 ,6.5 ,0.09 
320 ,4 ,6.1 ,0.08 
390 ,5 ,7.4 ,0.09 
370 ,4 ,7.0 ,0.08 
450 ,5 ,8.7 ,0.1 
520 ,5 ,9.9 ,0.1 
530 ,5 ,10 ,0.1 
610 ,6 ,12 ,0.11 
5 300 ,410 ,8.2 ,0.63 
5 300 ,390 ,8.2 ,0.62 
5 500 ,400 ,8.6 ,0.63 
5 500 ,390 ,8.6 ,0.62 
5 500 ,380 ,8.7 ,0.61 
5 600 ,380 ,8.9 ,0.6 
5 700 ,380 ,9.1 ,0.61 
6 300 ,410 ,10 ,0.66 
6 300 ,400 ,10 ,0.64 
5 800 ,350 ,9.4 ,0.57 
5 800 ,340 ,9.5 ,0.56 
6 000 ,340 ,9.8 ,0.56 
7 000 ,390 ,12 ,0.64 
6 600 ,350 ,11 ,0.59 
6 800 ,340 ,11 ,0.58 
7 100 ,350 ,12 ,0.59 
8 000 ,250 ,465 ,14 
7 500 ,540 ,444 ,32 
7 000 ,780 ,423 ,47 
7 000 ,1 100 ,436 ,69 
7 100 ,1 400 ,453 ,86 
7 300 ,1 700 ,473 ,112 
7 500 ,2 100 ,499 ,142 
7 800 ,2 500 ,526 ,171 
8 000 ,2 700 ,553 ,189 
8 100 ,2 800 ,576 ,198 
8 200 ,2 800 ,592 ,204 
8 000 ,2 800 ,596 ,205 
7 800 ,2 700 ,590 ,201 
7 400 ,2 500 ,574 ,193 
6 900 ,2 300 ,548 ,181 
6 300 ,2 000 ,515 ,164 
3 500 ,600 ,174 ,30 
3 400 ,660 ,174 ,34 
3 200 ,450 ,173 ,24 
3 200 ,510 ,175 ,28 
3 100 ,520 ,176 ,29 
3 000 ,490 ,178 ,29 
3 000 ,470 ,180 ,29 
2 900 ,470 ,183 ,30 
2 900 ,460 ,186 ,30 
2 800 ,450 ,189 ,31 
2 700 ,440 ,191 ,31 
2 700 ,420 ,192 ,30 
2 600 ,400 ,193 ,30 
2 500 ,370 ,192 ,28 
2 400 ,330 ,189 ,26 
2 300 ,290 ,185 ,24 
4 000 ,260 ,99 ,6.4 
4 300 ,250 ,106 ,6.3 
4 700 ,260 ,116 ,6.3 
4 900 ,240 ,119 ,5.8 
5 100 ,230 ,122 ,5.4 
5 400 ,220 ,127 ,5.1 
5 700 ,200 ,133 ,4.8 
6 100 ,190 ,140 ,4.5 
6 600 ,190 ,149 ,4.3 
7 100 ,180 ,161 ,4.1 
7 900 ,170 ,175 ,3.9 
8 700 ,170 ,192 ,3.8 
9 600 ,170 ,210 ,3.7 
11 000 ,160 ,228 ,3.5 
11 000 ,160 ,243 ,3.3 
12 000 ,150 ,254 ,3.1 
6 500 ,200 ,8.1 ,0.24 
5 000 ,140 ,6.2 ,0.18 
4 800 ,130 ,6.0 ,0.17 
4 600 ,120 ,5.8 ,0.15 
4 700 ,120 ,5.8 ,0.15 
4 700 ,110 ,5.8 ,0.14 
4 800 ,110 ,6.0 ,0.14 
4 800 ,110 ,5.9 ,0.13 
5 400 ,110 ,6.6 ,0.14 
5 900 ,120 ,7.3 ,0.15 
6 600 ,130 ,8.1 ,0.16 
7 100 ,130 ,8.7 ,0.16 
8 100 ,140 ,9.9 ,0.17 
8 000 ,130 ,9.8 ,0.16 
8 000 ,130 ,9.8 ,0.15 
10 000 ,160 ,13 ,0.19 
44 000 ,9 900 ,160 ,36 
44 000 ,10 000 ,165 ,39 
44 000 ,10 000 ,168 ,40 
44 000 ,10 000 ,173 ,40 
44 000 ,11 000 ,178 ,43 
44 000 ,11 000 ,183 ,46 
44 000 ,8 300 ,187 ,35 
44 000 ,7 100 ,191 ,31 
44 000 ,6 700 ,196 ,30 
44 000 ,6 900 ,199 ,31 
43 000 ,7 000 ,203 ,33 
43 000 ,7 100 ,206 ,34 
42 000 ,7 200 ,209 ,35 
42 000 ,7 200 ,212 ,37 
41 000 ,7 200 ,214 ,38 
41 000 ,7 200 ,216 ,38 
490 ,20 ,4.5 ,0.18 
560 ,21 ,5.1 ,0.19 
570 ,21 ,5.1 ,0.19 
600 ,21 ,5.4 ,0.19 
520 ,18 ,4.7 ,0.16 
510 ,17 ,4.6 ,0.15 
620 ,21 ,5.6 ,0.18 
670 ,22 ,6.0 ,0.19 
710 ,22 ,6.4 ,0.2 
710 ,21 ,6.4 ,0.19 
800 ,23 ,7.2 ,0.21 
840 ,23 ,7.6 ,0.21 
680 ,18 ,6.2 ,0.16 
660 ,16 ,6.0 ,0.15 
580 ,14 ,5.3 ,0.12 
810 ,18 ,7.4 ,0.17 
6 ,2 ,5.4 ,2.2 
0 ,0 ,0,0
1 ,0 ,0.6 ,0 
1 ,0 ,1.1 ,0 
2 ,0 ,2.2 ,0 
5 ,1 ,4.4 ,1.1 
6 ,1 ,5.5 ,1.1 
6 ,0 ,5.5 ,0.36 
3 ,0 ,3.3 ,0.02 
1 ,0 ,1.1 ,0 
2 ,,1.7 ,
2 ,,2.2 ,
2 ,,2.2 ,
1 ,,1.1 ,
1 ,,0.6 ,
0 ,,0,
4 200 ,270 ,25 ,1.7 
4 000 ,330 ,25 ,2.1 
4 100 ,390 ,26 ,2.5 
4 300 ,440 ,28 ,2.9 
3 800 ,440 ,25 ,2.9 
4 200 ,530 ,28 ,3.6 
3 600 ,500 ,25 ,3.5 
4 100 ,660 ,29 ,4.7 
3 900 ,760 ,28 ,5.5 
4 500 ,850 ,34 ,6.3 
4 800 ,850 ,36 ,6.4 
4 100 ,680 ,32 ,5.3 
3 300 ,500 ,26 ,4 
3 600 ,490 ,30 ,4 
3 000 ,360 ,25 ,3 
3 600 ,380 ,31 ,3.2 
22 000 ,5 400 ,177 ,43 
22 000 ,5 200 ,177 ,42 
21 000 ,5 000 ,177 ,42 
21 000 ,5 100 ,180 ,44 
21 000 ,5 300 ,183 ,47 
20 000 ,5 300 ,186 ,48 
20 000 ,3 500 ,190 ,33 
20 000 ,3 500 ,195 ,34 
20 000 ,3 500 ,200 ,35 
20 000 ,3 600 ,206 ,36 
20 000 ,3 600 ,210 ,37 
20 000 ,3 600 ,214 ,38 
20 000 ,3 600 ,218 ,39 
20 000 ,3 600 ,221 ,39 
20 000 ,3 600 ,224 ,40 
20 000 ,3 600 ,228 ,41 
6 900 ,1 800 ,373 ,97 
6 600 ,2 500 ,369 ,137 
6 800 ,2 800 ,387 ,159 
6 500 ,2 600 ,382 ,149 
6 300 ,2 600 ,376 ,156 
6 100 ,2 500 ,372 ,155 
5 900 ,2 500 ,369 ,154 
5 800 ,2 400 ,368 ,153 
5 600 ,2 300 ,367 ,151 
5 500 ,2 200 ,366 ,148 
5 300 ,2 100 ,361 ,143 
5 100 ,1 900 ,353 ,135 
4 800 ,1 800 ,342 ,125 
4 500 ,1 600 ,330 ,114 
4 300 ,1 400 ,317 ,102 
4 000 ,1 200 ,305 ,89 
710 ,170 ,93 ,22 
680 ,170 ,89 ,23 
850 ,230 ,112 ,30 
940 ,250 ,123 ,33 
890 ,240 ,117 ,32 
890 ,230 ,118 ,31 
950 ,260 ,127 ,35 
820 ,230 ,109 ,31 
740 ,180 ,100 ,25 
890 ,180 ,119 ,24 
800 ,120 ,108 ,16 
750 ,110 ,102 ,15 
790 ,110 ,106 ,15 
740 ,98 ,99 ,13 
530 ,67 ,71 ,9 
530 ,64 ,71 ,8.6 
21 000 ,3 400 ,194 ,32 
21 000 ,3 900 ,200 ,37 
22 000 ,4 200 ,206 ,40 
22 000 ,4 400 ,213 ,43 
22 000 ,4 500 ,220 ,45 
23 000 ,4 700 ,229 ,47 
23 000 ,5 200 ,238 ,52 
24 000 ,5 600 ,248 ,58 
25 000 ,6 100 ,257 ,63 
25 000 ,6 400 ,266 ,69 
25 000 ,6 800 ,272 ,73 
25 000 ,7 000 ,276 ,77 
25 000 ,7 100 ,277 ,79 
24 000 ,7 100 ,277 ,81 
24 000 ,7 000 ,274 ,81 
23 000 ,6 800 ,270 ,80 
3 500 ,360 ,43 ,4.5 
3 400 ,360 ,43 ,4.5 
3 600 ,380 ,46 ,4.8 
3 700 ,400 ,48 ,5.1 
3 900 ,450 ,52 ,5.9 
3 500 ,420 ,47 ,5.6 
3 600 ,440 ,48 ,6 
3 500 ,420 ,48 ,5.7 
4 400 ,500 ,61 ,7.1 
4 700 ,470 ,66 ,6.8 
5 000 ,420 ,73 ,6.2 
5 500 ,360 ,81 ,5.3 
6 000 ,280 ,91 ,4.2 
6 500 ,320 ,100 ,5 
6 900 ,370 ,108 ,5.8 
7 100 ,410 ,114 ,6.6 
920 ,12 ,9.3 ,0.12 
920 ,11 ,9.3 ,0.11 
1 200 ,14 ,12 ,0.14 
1 300 ,15 ,13 ,0.15 
1 500 ,15 ,15 ,0.15 
1 800 ,18 ,18 ,0.18 
1 500 ,14 ,15 ,0.14 
1 600 ,15 ,16 ,0.15 
1 800 ,16 ,18 ,0.15 
1 900 ,16 ,19 ,0.16 
2 100 ,17 ,21 ,0.17 
2 600 ,20 ,26 ,0.2 
